Freshness,Review
2," Manakamana doesn't answer any questions, yet makes its point: Nepal, like the rest of our planet, is a picturesque but far from peaceable kingdom."
2," Wilfully offensive and powered by a chest-thumping machismo, but it's good clean fun."
0, It would be difficult to imagine material more wrong for Spade than Lost & Found.
1," Despite the gusto its star brings to the role, it's hard to ride shotgun on Hector's voyage of discovery."
0," If there was a good idea at the core of this film, it's been buried in an unsightly pile of flatulence jokes, dog-related bad puns and a ridiculous serial arson plot."
0," Gleeson goes the Hallmark Channel route, damaging an intermittently curious entry in the time travel subgenre."
2," It was the height of satire in 2976: dark as hell, but patently absurd and surely nowhere close to objective reality. Objective reality surpassed it somewhere in the Jerry Springer era."
1," Everyone in ""The Comedian"" deserves a better movie than ""The Comedian."""
0, Actor encourages grumpy Christians to embrace the season.
2," Slight, contained, but ineffably soulful."
2," Bell's debut feature addresses its subject with both humor and intelligence, approaching the issue of performance enhancement from every conceivable angle"
2," ... except for its shamelessly (and irresistibly) zingy music score (by the director), Halloween achieves its considerable power almost entirely through visual means."
0, This is not one for the uninitiated. It's also not one for people who like action and thrills.
2," Son of Saul employs the formal mechanics of filmmaking to turn [its] ... questions back in on and around themselves, doing what cinema does best in the hands of great filmmakers: showing by not showing, telling by not telling."
0, It isn't thrilling. Fox can't act. The backchat is more filthy than funny.
1," Hiddleston and Swinton are lovely to watch, but they need more to chew on than this."
2," Yossi is a stronger film than its predecessor, more deeply felt and less reliant on love-story conventions."
2, I feel like a Sparkle Baby just puked rainbow-colored dust all over my head. 
0," Long, unfocused film."
2, Kubo and the Two Strings is better than immersive -- it's absorptive. We're pulled in Knight's direction; we become part of his studio's technical wizardry.
1," Easy to enjoy, if you're at all susceptible to this sort of thing, but it leaves you with nothing to think about, except for all the opportunities Brooks missed to make something worthwhile out of the material."
2," An extraordinary blast from the past, X-Men: First Class will go down as one of this decade's best superhero movies."
2," Mostly lightweight, but the most interesting part of the movie is Jamie Foxx as Electro. This villain embodies black rage, more Malcolm X than mutant."
2," Drawn, per a disclaimer, from period accounts of strange phenomena and psychotic breaks among settlers, Eggers's impeccably crafted, historically accurate creepshow wears its deep-dive research on its tattered gingham sleeves."
2, ... hones its dramatic elements to emotional effect rather than fall back on a slasher film template... Moretz brings her A-game...
1," What seemed like a decent idea - a fourth and final stroll through the American Pie gutter - is swamped by the reason why most of these actors haven't worked much between sequels. They simply aren't special, or even that good at what they're doing."
0," Free Birds is unappealingly staged and paced with an uneven sluggishness. It begs the question: since things always seem to be happening, why is it all so crushingly dull?"
1," A joyless, misanthropic 205 minutes worth of ""comedy"" that rates as Coen brothers at their worst. How one can take such a marvelous period and turn it into a voyage into hell is an imponderable mystery to this critic."
0," This one, directed by John Glen, just follows the numbers, plodding from one unimaginative set piece to the next."
2," The movie is purely visceral, generating adrenaline, alarm, and even tears. Berg manages to avoid high-minded seriousness while still respecting the material. "
